,question,answer,tags
30,27 Why we generally use Soft-max (or sigmoid) non-linearity function as last operation in-network? Why RELU in an inner layer?,"It is because it takes in a vector of real numbers and returns a probability distribution Its definition is as follows Let x be a vector of real numbers (positive, negative, whatever, there are no constraints)
Then the i-eth component of soft-max(x) is:
It should be clear that the output is a probability distribution: each element is non-negative and the sum over all components is 1
RELU because it avoids the vanishing gradient descent issue
Data Analysis",[]
31,1 Python or R  Which one would you prefer for text analytics?,"We will prefer Python because of the following reasons:
Python would be the best option because it has Pandas library that provides easy to use data
structures and high-performance data analysis tools
R is more suitable for machine learning than just text analysis  Python performs faster for all types of text analytics",[]
32,2 How does data cleaning play a vital role in the analysis?,"Data cleaning can help in analysis because:
Cleaning data from multiple sources helps transform it into a format that data analysts or data
scientists can work with
Data Cleaning helps increase the accuracy of the model in machine learning
It is a cumbersome process because as the number of data sources increases, the time taken to
clean the data increases exponentially due to the number of sources and the volume of data
generated by these sources
It might take up to 80% of the time for just cleaning data making it a critical part of the analysis
task
Univariate analyses are
For example, the pie charts of sales based on territory involve only one variable and can the analysis can be referred to as univariate analysis
For example, analyzing the volume of sale and spending can be considered as an example of bivariate analysis",[]
33,5 What is Cluster Sampling?,"descriptive statistical analysis techniques which can be differentiated based on
one variable involved at a given point of time
The bivariate analysis attempts to understand the difference between two variables at a time as in a
scatterplot
Multivariate analysis deals with the study of more than two variables to understand the effect of variables
on the responses
It is a traditional database schema with a central table Satellite tables map IDs to physical names or descriptions and can be connected to the central fact table using the ID fields; these tables are known as lookup tables and are principally useful in real-time applications, as they save a lot of memory Sometimes
star schemas involve several layers of summarization to recover information faster
Cluster sampling is a technique used when it becomes difficult to study the target population spread across a wide area and simple random sampling cannot be applied Cluster Sample is a probability sample
where each sampling unit is a collection or cluster of elements
For example, a researcher wants to survey the academic performance of high school students in Japan He can divide the entire population of Japan into different clusters (cities) Then the researcher selects a number of clusters depending on his research through simple or systematic random sampling",[]
34,6 What is Systematic Sampling?,"The best example of systematic sampling is equal probability
method",[]
35,7 What are Eigenvectors and Eigenvalues?,"Eigenvectors are used for understanding linear transformations In data analysis,",[]
36,8 Can you cite some examples where a false positive is important than a false negative?,"Let us first understand what false positives and false negatives are
False Positives are the cases where you wrongly classified a non-event as an event aka Type I error
False Negatives are the cases where you wrongly classify events as non-events, aka Type II error
Example 1: In the medical field, assume you have to give chemotherapy to patients Assume a patient comes to that hospital and he is tested positive for cancer, based on the lab prediction but he actually doesnt have cancer This is a case of false positive Here it is of utmost danger to start chemotherapy on this patient when he actually does not have cancer In the absence of cancerous cell, chemotherapy will do certain damage to his normal healthy cells and might lead to severe diseases, even cancer
Example 2: Lets say an e-commerce company decided to give $1000 Gift voucher to the customers whom they assume to purchase at least $10,000 worth of items They send free voucher mail directly to 100 customers without any minimum purchase condition because they assume to make at least 20% profit on sold items above $10,000 Now the issue is if we send the $1000 gift vouchers to customers who have not actually purchased anything but are marked as having made $10,000 worth of purchase",[]
37,9 Can you cite some examples where a false negative important than a false positive? And vice versa?,"Systematic sampling is a statistical technique where elements are selected from an ordered sampling frame In systematic sampling, the list is progressed in a circular manner so once you reach the end of the
list, it is progressed from the top again
particular linear transformation acts by flipping, compressing or stretching
we usually calculate the
eigenvectors for a correlation or covariance matrix Eigenvectors are the directions along which a
Eigenvalue can be referred to as the strength of the transformation in the direction of eigenvector or the
factor by which the compression occurs
Example 1 FN: What if Jury or judge decides to make a criminal go free? Example 2 FN: Fraud detection
Example 3 FP: customer voucher use promo evaluation: if many used it and actually if was not true, promo sucks",[]
38,10 Can you cite some examples where both false positive and false negatives are equally important?,"In the Banking industry giving loans is the primary source of making money but at the same time if your repayment rate is not good you will not make any profit, rather you will risk huge losses
Banks dont want to lose good customers and at the same point in time, they dont want to acquire bad customers In this scenario, both the false positives and false negatives become very important to measure",[]
39,11 Can you explain the difference between a Validation Set and a Test Set?,"A Training Set:
to fit the parameters ie weights
A Validation set:
A Test set:
https://machinelearningmasterycom/k-fold-cross-validation/
As such, the procedure is often called k-fold cross-validation When a specific value for k is chosen, it may be used in place of k in the reference to the model, such as k=10
becoming 10-fold cross-validation
Cross-validation is primarily used in applied machine learning to estimate the skill of a machine learning model on unseen data That is, to use a limited sample in order to estimate how the model is expected to perform in general when used to make predictions on data not used during the training of the model
It is a popular method because it is simple to understand and because it generally results in a less biased or less optimistic estimate of the model skill than other methods, such as a simple train/test split
part of the training set
for parameter selection
to avoid overfitting
for testing or evaluating the performance of a trained machine learning model, ie evaluating the
predictive power and generalization
Cross-validation is a resampling procedure used to evaluate machine learning models on a limited data sample The procedure has a single parameter called k that refers to the number of groups that a given
data sample is to be split into
Mainly used in backgrounds where the objective is forecast, and one
wants to estimate how accurately a model will accomplish in practice
The general procedure is as follows:
a Take the group as a hold out or test data set
b Take the remaining groups as a training data set
c Fit a model on the training set and evaluate it on the test set
d Retain the evaluation score and discard the model
There is an alternative in Scikit-Learn called Stratified k fold, in which the split is shuffled to make it sure you have a representative sample of each class and a k fold in which you may not have the assurance of it (not good with a very unbalanced dataset)
Machine Learning",[]
40,1 What is Machine Learning?,"Machine learning is the study of computer algorithms that improve automatically through experience It is seen as a subset of artificial intelligence
You select a model to train and then manually perform feature extraction Used to devise complex models and algorithms that lend themselves
to a prediction which in commercial use is known as predictive analytics",[]
41,2 What is Supervised Learning?,"Algorithms: Support Vector Machines, Regression, Naive Bayes, Decision Trees, K-nearest Neighbor Algorithm and Neural Networks
Eg If you built a fruit classifier, the labels will be this is an orange, this is an apple and this is a banana, based on showing the classifier examples of apples, oranges and bananas",[]
42,3 What is Unsupervised learning?,"Algorithms: Clustering, Anomaly Detection, Neural Networks and Latent Variable Models
Eg In the same example, a fruit clustering will categorize as fruits with soft skin and lots of dimples, fruits with shiny hard skin and elongated yellow fruits",[]
43,4 What are the various algorithms?,"There are various algorithms Here is a list
Machine Learning explores the study and construction of
algorithms that can learn from and make predictions on data
Supervised learning is the machine learning task of inferring a function from labeled training data The
training data consist of a set of training examples
Unsupervised learning is a type of machine learning algorithm used to draw inferences from datasets
consisting of input data without labelled responses",[]
44,5 What is Naive in a Naive Bayes?,"https://enwikipediaorg/wiki/Naive_Bayes_classifier
Naive Bayes methods are a set of supervised learning algorithms based on applying Bayes theorem with the naive assumption of conditional independence between every pair of features given the value of
Bayes theorem states the following relationship, given class variable y and dependent feature vector through :
Using the naive conditional independence assumption that each  is independent: for all , this relationship is simplified to:
Since (,  , ) is constant given the input, we can use the following classification rule:
and we can use Maximum A Posteriori (MAP) estimation to estimate () and (|); the former is then the relative frequency of class  in the training set
The different naive Bayes classifiers differ mainly by the assumptions they make regarding the distribution of (|): can be Bernoulli, Binomial, Gaussian, and so on",[]
45,6 What is PCA? When do you use it?,"https://enwikipediaorg/wiki/Principal_component_analysis
https://blogumetricscom/what-is-principal-component-analysis-pca-and-how-it-is-used https://blogumetricscom/why-preprocesing-data-creates-better-data-analytics-models
The process works as following We define a matrix A with  rows (the single observations of a dataset  in a tabular format, each single row) and  columns, our features For this matrix we construct a variable space with as many dimensions as there are features Each feature represents one coordinate axis For
the class variable
Principal component analysis (PCA) is a statistical method used in Machine Learning It consists in projectingdata in a higher dimensional space into a lower dimensional space by maximizing
the variance of each dimension
each feature, the length has been standardized according to a scaling criterion, normally by scaling to unit variance
Once plotted all the observations and computed the mean of each variable, that mean will be represented by a point in the center of our plot (the center of gravity) Then, we subtract each observation with the mean, shifting the coordinate system with the center in the origin The best fitting line resulting is the line that best accounts for the shape of the point swarm It represents the maximum variance direction in the data Each observation may be projected onto this line in order to get a coordinate value along the PC-line This value is known as a score The next best-fitting line can be similarly chosen from directions perpendicular to the first
PCA is mostly used as a tool in exploratory data analysis and for making predictive models It is often used to visualize genetic distance and relatedness between populations
https://enwikipediaorg/wiki/Support_vector_machine
Classifying data is a common task in machine learning Suppose some given data points each belong to one of two classes, and the goal is to decide which class a new data point will be in In the case of support- vector machines,
This is called a linear classifier There are many hyperplanes that might classify the data One reasonable choice as the best hyperplane is the one that represents the largest separation, or margin, between the two classes So, we
The best
hyper plane that divides the data is    Wehavendata(,),,(,)andpdifferentfeatures =( ,, )and iseither1or-1 The equation of the hyperplane  is as the set of points x satisfying:
It is determinant to scale the features to a common scale, otherwise the features with a greater
magnitude will weigh more in determining the principal components
Repeating this process yields an orthogonal basis in which different individual dimensions of the data are
uncorrelated These basis vectors are called principal components
a data point is viewed as a p-dimensional vector (a list of  numbers), and we want to
know whether we can separate such points with a (  1)-dimensional hyperplane
choose the hyperplane so that the distance from it to the nearest data point on each side is maximized If such a hyperplane exists, it is known as the maximum-margin hyperplane and the linear classifier it defines
is known as a maximum-margin classifier; or equivalently, the perceptron of optimal stability
normal vector
So, for each , either  is in the hyperplane of 1 or -1 Basically,  satisfies:
SVMs are helpful in text and hypertext categorization, as their application can significantly reduce the need for labeled training instances in both the standard inductive and transductive settings Some methods for shallow semantic parsing are based on support vector machines
Classification of images can also be performed using SVMs Experimental results show that SVMs achieve significantly higher search accuracy than traditional query refinement schemes after just three to four rounds of relevance feedback
Classification of satellite data like SAR data using supervised SVM
Hand-written characters can be recognized using SVM",[]
46,8 What are the support vectors in SVM?,"In the diagram, we see that the sketched lines mark the distance from the classifier (the hyper plane) to the closest data points called the support vectors (darkened data points) The distance between the two thin lines is called the margin
To extend SVM to cases in which the data are not linearly separable, we introduce the hinge loss function,
max(0,1( ))
where  is the (not necessarily normalized)
to the hyperplane The parameter
determines the offset of the hyperplane from the origin along the normal vector w
x",[]
47,9 What are the different kernels in SVM?,There are four types of kernels in SVM 1 LinearKernel,[]
